Time,Altitude ,Pressure,Velocity,Tempurature,Events,Voltage
0,-2.84E-06,989.3,0,81.5,-,9.043174
0.05,5.567414,989.1,5.285714,81.5,-,9.043174
0.1,19.48909,988.6,18.52381,81.5,-,9.043174
0.15,25.058,988.4,23.80952,81.5,-,9.043174
0.2,30.62952,988.2,29.09524,81.5,-,9.043174
0.25,44.56147,987.7,42.38095,81.5,-,9.043174
0.3,52.92304,987.4,50.33333,81.5,-,9.043174
0.35,64.07614,987,60.95238,81.5,-,9.043174
0.4,80.81094,986.4,76.90476,81.5,-,9.043174
0.45,94.76348,985.9,90.19048,81.5,-,9.043174
0.5,105.9303,985.5,100.8095,81.5,-,9.043174
0.55,128.2733,984.7,122.0952,81.5,-,9.043174
0.6,147.8361,984,140.7143,81.5,-,9.043174
0.65,161.8162,983.5,154.0476,81.5,-,9.043174
0.7,175.802,983,167.381,81.5,-,9.043174
0.75,195.3923,982.3,186.0476,81.5,-,9.043174
0.8,212.1919,981.7,202.0476,81.5,-,9.043174
0.85,223.3974,981.3,212.7143,81.5,-,9.043174
0.9,248.6208,980.4,236.7143,81.5,-,9.043174
0.95,271.0596,979.6,258.0952,81.5,-,9.043174
1,285.0905,979.1,271.4762,81.68,-,9.062621
1.05,313.1698,978.1,298.2381,81.68,-,9.062621
1.1,335.6496,977.3,314.381,81.68,-,9.062621
1.15,360.9565,976.4,325.2381,81.68,-,9.062621
1.2,389.0987,975.4,346.7619,81.68,-,9.062621
1.25,417.2642,974.4,368.2857,81.68,-,9.062621
1.3,442.6339,973.5,379.1429,81.68,-,9.062621
1.35,479.3112,972.2,406.1429,81.68,-,9.062621
1.4,513.2031,971,427.8095,81.68,-,9.062621
1.45,544.2995,969.9,441.4762,81.68,-,9.062621
1.5,566.9349,969.1,449.7619,81.68,-,9.062621
1.55,612.2476,967.5,482.2857,81.68,-,9.062621
1.6,643.4351,966.4,490.7143,81.68,-,9.062621
1.65,686.0107,964.9,512.6667,81.68,-,9.062621
1.7,717.2681,963.8,529.0952,81.68,-,9.062621
1.75,751.399,962.6,548.2857,81.68,-,9.062621
1.8,788.4125,961.3,564.8571,81.68,-,9.062621
1.85,831.1712,959.8,589.5714,81.68,-,9.062621
1.9,871.127,958.4,616.9524,81.68,-,9.062621
1.95,913.9905,956.9,633.7619,81.68,-,9.062621
2,939.7354,956,636.9048,81.68,-,9.043174
2.05,994.1494,954.1,675.3333,81.68,-,9.043174
2.1,1037.169,952.6,689.5238,81.68,-,9.043174
2.15,1083.117,951,711.8571,81.68,-,9.043174
2.2,1123.374,949.6,726.0952,81.68,-,9.043174
2.25,1166.559,948.1,740.4286,81.68,-,9.043174
2.3,1206.914,946.7,752.0476,81.68,-,9.043174
2.35,1244.43,945.4,763.619,81.68,-,9.043174
2.4,1279.099,944.2,761.6667,81.68,-,9.043174
2.45,1316.696,942.9,765.1905,81.68,-,9.043174
2.5,1351.438,941.7,768.6667,81.68,-,9.043174
2.55,1421.031,939.3,813.381,81.68,-,9.043174
2.6,1470.413,937.6,817.2857,81.68,-,9.043174
2.65,1519.866,935.9,834.6667,81.68,-,9.043174
2.7,1575.226,934,846.8095,81.68,-,9.043174
2.75,1630.676,932.1,869.8571,81.68,-,9.043174
2.8,1674.517,930.6,879.0952,81.68,-,9.043174
2.85,1724.271,928.9,891.2381,81.68,-,9.043174
2.9,1768.235,927.4,892.381,81.68,-,9.043174
2.95,1815.193,925.8,899.0476,81.68,-,9.043174
3,1847.514,924.7,889,81.68,-,9.101517
3.05,1906.361,922.7,920.5238,81.68,-,9.101517
3.1,1950.563,921.2,910.8095,81.68,-,9.101517
3.15,2000.73,919.5,917.619,81.68,-,9.101517
3.2,2048.014,917.9,918.9048,81.68,-,9.101517
3.25,2098.327,916.2,928.4762,81.68,-,9.101517
3.3,2145.75,914.6,932.4762,81.68,-,9.101517
3.35,2208.094,912.5,953.4286,81.68,-,9.101517
3.4,2258.648,910.8,965.8571,81.68,-,9.101517
3.45,2312.259,909,983.9048,81.68,-,9.101517
3.5,2342.08,908,976.4762,81.68,-,9.101517
3.55,2401.802,906,1000.238,81.68,-,9.101517
3.6,2440.678,904.7,971,81.68,-,9.101517
3.65,2482.597,903.3,963.8571,81.68,-,9.101517
3.7,2515.568,902.2,948.1429,81.68,-,9.101517
3.75,2557.581,900.8,935.4286,81.68,-,9.101517
3.8,2593.633,899.6,916.9524,81.68,-,9.101517
3.85,2638.753,898.1,918.1429,81.68,-,9.101517
3.9,2683.935,896.6,913.8095,81.68,-,9.101517
3.95,2732.195,895,917.9048,81.68,-,9.101517
4,2759.373,894.1,899.0952,81.68,-,9.082069
4.05,2813.794,892.3,920.1429,81.68,-,9.082069
4.1,2853.153,891,901.5714,81.68,-,9.082069
4.15,2898.626,889.5,902.7619,81.68,-,9.082069
4.2,2941.124,888.1,895.4762,81.68,-,9.082069
4.25,2983.674,886.7,890.9524,81.68,-,9.082069
4.3,3023.235,885.4,880.7143,81.68,-,9.082069
4.35,3065.892,884,876.1905,81.68,-,9.082069
4.4,3105.551,882.7,854.5714,81.68,-,9.082069
4.45,3148.313,881.3,847.1429,81.68,-,9.082069
4.5,3178.892,880.3,825.2381,81.68,-,9.082069
4.55,3230.94,878.6,846.4286,81.68,-,9.082069
4.6,3264.66,877.5,821.6667,81.68,-,9.082069
4.65,3307.629,876.1,825.5238,81.68,-,9.082069
4.7,3350.651,874.7,826.5714,81.68,-,9.082069
4.75,3396.809,873.2,839.1429,81.68,-,9.082069
4.8,3436.865,871.9,837.2857,81.68,-,9.082069
4.85,3476.97,870.6,841.1429,81.68,-,9.082069
4.9,3514.031,869.4,833.4762,81.68,-,9.082069
4.95,3551.135,868.2,825.7619,81.68,-,9.082069
5,3578.991,867.3,806.3333,81.68,-,9.101517
5.05,3628.568,865.7,827.6667,81.68,-,9.101517
5.1,3662.697,864.6,808.381,81.68,-,9.101517
5.15,3699.966,863.4,806.381,81.68,-,9.101517
5.2,3737.279,862.2,798.619,81.68,-,9.101517
5.25,3774.634,861,793.7143,81.68,-,9.101517
5.3,3808.912,859.9,785.8571,81.68,-,9.101517
5.35,3849.47,858.6,786.8095,81.68,-,9.101517
5.4,3880.702,857.6,775.9524,81.68,-,9.101517
5.45,3918.218,856.4,773.9048,81.68,-,9.101517
5.5,3943.254,855.6,757.0476,81.68,-,9.101517
5.55,3990.245,854.1,772.6667,81.68,-,9.101517
5.6,4021.61,853.1,752.9524,81.68,-,9.101517
5.65,4059.286,851.9,756.7619,81.68,-,9.101517
5.7,4090.716,850.9,745.8095,81.68,-,9.101517
5.75,4131.622,849.6,743.8095,81.68,-,9.101517
5.8,4166.272,848.5,732.8571,81.68,-,9.101517
5.85,4207.27,847.2,733.7619,81.68,-,9.101517
5.9,4242.001,846.1,728.6667,81.68,-,9.101517
5.95,4279.93,844.9,729.5238,81.68,-,9.101517
6,4305.242,844.1,718.2857,81.68,-,9.101517
6.05,4352.751,842.6,737,81.68,-,9.101517
6.1,4390.807,841.4,726,81.68,-,9.101517
6.15,4428.909,840.2,729.7619,81.68,-,9.101517
6.2,4463.875,839.1,727.5714,81.68,-,9.101517
6.25,4502.059,837.9,728.4286,81.68,-,9.101517
6.3,4537.102,836.8,726.2381,81.68,-,9.101517
6.35,4572.181,835.7,727,81.68,-,9.101517
6.4,4604.104,834.7,718.7619,81.68,-,9.101517
6.45,4642.454,833.5,725.5238,81.68,-,9.101517
6.5,4664.845,832.8,711.1429,81.68,-,9.101517
6.55,4712.876,831.3,733.0476,81.68,-,9.101517
6.6,4744.936,830.3,718.8095,81.68,-,9.101517
6.65,4777.027,829.3,719.5238,81.68,-,9.101517
6.7,4809.15,828.3,714.1905,81.68,-,9.101517
6.75,4841.304,827.3,714.8571,81.68,-,9.101517
6.8,4867.05,826.5,700.4286,81.68,-,9.101517
6.85,4899.261,825.5,698.0952,81.68,-,9.101517
6.9,4931.503,824.5,689.7619,81.68,-,9.101517
6.95,4963.777,823.5,687.381,81.68,-,9.101517
7,4983.156,822.9,669.7143,81.68,-,9.120965
7.05,5025.186,821.6,685.6667,81.68,-,9.120965
7.1,5054.313,820.7,668.1905,81.68,-,9.120965
7.15,5086.708,819.7,662.8095,81.68,-,9.120965
